,FTR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,BbAvH,BbAvD,BbAvA
48,1,4.33,3.6,1.95,4.32,3.65,1.94,4.2,3.25,1.95,4.14,3.49,1.92
49,3,2.25,3.5,3.4,2.23,3.53,3.48,2.25,3.1,3.4,2.19,3.41,3.33
50,1,2.3,3.25,3.5,2.32,3.23,3.57,2.3,3.2,3.2,2.28,3.2,3.36
51,3,1.7,4.0,5.5,1.71,3.99,5.35,1.73,3.6,5.0,1.7,3.79,5.14
52,3,2.45,3.5,3.0,2.45,3.51,3.06,2.4,3.1,3.1,2.41,3.38,2.97
53,1,1.29,6.5,11.0,1.27,6.45,12.78,1.29,5.0,12.0,1.26,6.08,11.33
54,1,2.5,3.3,3.1,2.54,3.36,3.04,2.5,3.2,2.9,2.47,3.25,2.97
55,2,2.5,3.4,3.0,2.47,3.41,3.1,2.5,3.0,3.0,2.43,3.3,2.98
56,2,2.3,3.4,3.4,2.3,3.44,3.4,2.3,3.2,3.2,2.26,3.33,3.27
57,2,1.67,4.0,5.75,1.68,3.94,5.81,1.67,3.6,5.5,1.64,3.86,5.54
58,1,3.1,3.3,2.5,3.22,3.3,2.46,3.0,3.0,2.5,3.06,3.19,2.44
59,3,2.0,3.6,4.0,1.99,3.61,4.15,1.95,3.5,3.8,1.97,3.48,3.95
60,1,4.5,4.0,1.8,4.55,3.97,1.83,4.0,3.75,1.85,4.26,3.81,1.82
61,3,1.53,4.33,7.0,1.53,4.28,7.48,1.53,3.8,7.0,1.52,4.13,6.81
62,3,1.2,7.5,16.0,1.23,6.9,16.7,1.22,6.0,13.0,1.21,6.57,13.85
63,2,6.0,4.2,1.62,5.98,4.16,1.63,6.0,3.6,1.62,5.62,3.94,1.62
64,3,2.05,3.4,4.2,2.04,3.51,4.07,2.05,3.1,4.0,2.03,3.37,3.86
65,3,2.55,3.3,3.0,2.47,3.46,3.06,2.5,3.1,3.0,2.48,3.31,2.9
66,3,4.2,3.8,1.91,4.03,3.82,1.96,4.0,3.4,1.95,3.94,3.62,1.93
67,2,2.25,3.5,3.4,2.22,3.54,3.49,2.3,3.2,3.2,2.22,3.4,3.28
68,1,2.5,3.3,3.1,2.49,3.36,3.12,2.5,3.1,3.0,2.48,3.25,2.96
69,1,3.1,3.3,2.5,3.06,3.39,2.51,3.1,3.0,2.5,2.98,3.25,2.47
70,1,2.5,3.3,3.1,2.5,3.34,3.11,2.5,3.2,2.9,2.47,3.23,2.99
71,2,2.1,3.5,3.8,2.13,3.54,3.72,2.15,3.0,3.75,2.1,3.39,3.62
72,1,1.83,3.7,4.8,1.83,3.76,4.84,1.83,3.2,4.8,1.8,3.63,4.61
73,3,1.83,3.6,5.0,1.84,3.65,4.93,1.85,3.1,5.0,1.81,3.49,4.74
74,3,1.25,7.0,13.0,1.24,6.9,13.8,1.25,6.0,13.0,1.23,6.59,12.3
75,1,2.3,3.5,3.3,2.26,3.63,3.31,2.25,3.4,3.1,2.25,3.46,3.15
76,2,3.2,3.4,2.4,3.13,3.46,2.43,2.9,3.4,2.38,3.05,3.34,2.37
77,3,2.0,3.8,3.8,2.06,3.67,3.81,1.95,3.6,3.75,2.01,3.59,3.69
78,2,2.7,3.4,2.8,2.75,3.42,2.75,2.75,2.8,2.9,2.66,3.27,2.74
79,2,2.75,3.25,2.8,2.72,3.33,2.84,2.62,3.25,2.7,2.66,3.28,2.7
80,3,1.33,5.75,10.0,1.34,5.41,11.0,1.36,4.8,8.5,1.34,5.13,9.41
81,1,2.0,3.6,4.0,2.01,3.67,3.99,2.05,3.3,3.75,1.98,3.54,3.8
82,1,3.25,3.4,2.38,3.23,3.4,2.4,3.2,3.0,2.4,3.15,3.29,2.35
83,3,1.33,5.75,10.0,1.34,5.58,10.6,1.36,4.8,8.5,1.33,5.23,9.31
84,2,1.75,4.0,5.0,1.76,3.88,5.1,1.8,3.25,5.0,1.75,3.75,4.71
85,2,2.5,3.5,3.0,2.48,3.54,2.99,2.5,3.3,3.0,2.43,3.4,2.91
86,1,6.0,4.2,1.62,6.29,4.31,1.59,6.0,3.6,1.62,5.76,4.06,1.59
87,3,2.05,3.4,4.2,2.08,3.42,4.07,2.1,3.0,4.0,2.03,3.28,3.95
88,3,2.6,3.4,2.88,2.58,3.44,2.93,2.62,3.1,2.8,2.54,3.33,2.8
89,1,2.05,3.4,4.2,2.08,3.41,4.06,2.05,3.1,4.0,2.03,3.33,3.88
90,3,1.44,4.75,8.0,1.43,5.07,8.2,1.44,4.0,8.0,1.42,4.75,7.55
91,1,3.0,3.3,2.6,3.09,3.22,2.59,3.0,2.9,2.62,2.94,3.15,2.56
92,3,2.2,3.6,3.4,2.21,3.56,3.48,2.3,2.9,3.5,2.21,3.41,3.31
93,1,2.0,3.5,4.2,2.02,3.49,4.18,2.05,3.1,4.0,2.0,3.39,3.97
94,1,2.1,3.3,4.0,2.1,3.38,4.03,2.15,3.1,3.6,2.09,3.26,3.79
